# EVENT,Y_DELTA,PITCH_DELTA,YAW_DELTA,TIMESTAMP,ANGLE_DOT,DISTANCE,offset
attack,,,,1464497593683,,,0
serverInfo,,,,1464497593683,0.3623214831594838,0.9569293097486717,0
move,0.41999998688697815,-1.6499958,-9.600006,1464497593698,,,15
animation,,,,1464497593734,,,36
move,0.33319999363422426,-0.5999985,-11.700012,1464497593748,,,14
move,0.24813599859093927,-2.2499943,-12.0000305,1464497593798,,,50
move,0.1647732818260721,-1.949995,-11.699997,1464497593848,,,50
animation,,,,1464497593898,,,50
animation,,,,1464497593898,,,0
move,0.08307781780646906,-1.3499966,-22.800018,1464497593948,,,50
move,0.0,-1.3499966,-26.099976,1464497593998,,,50
move,-0.07840000152587834,-7.3499966,-42.899902,1464497593998,,,0
animation,,,,1464497594022,,,24
move,-0.15523200451660557,-4.2,-22.499908,1464497594048,,,26
move,-0.23052736891296632,0.8999977,9.600037,1464497594098,,,50
move,-0.30431682745754074,1.4999962,18.74997,1464497594148,,,50
move,-0.37663049823865435,2.699995,53.99997,1464497594198,,,50
animation,,,,1464497594259,,,61
attack,,,,1464497594259,,,0
serverInfo,,,,1464497594259,0.7421469348271071,1.0443120662251657,0
move,-0.1040803780930375,1.7999964,36.30002,1464497594299,,,40
move,0.0,0.0,2.099945,1464497594299,,,0
move,0.0,-0.14999962,-2.8499146,1464497594398,,,99
move,0.0,-0.8999977,-10.650085,1464497594398,,,0
animation,,,,1464497594435,,,37
attack,,,,1464497594435,,,0
serverInfo,,,,1464497594435,0.9393053849841795,0.6808337572151435,0
move,0.41999998688697815,1.4999962,0.0,1464497594448,,,13
move,0.33319999363422426,5.999998,0.2999878,1464497594548,,,100
move,0.24813599859093927,14.849995,-1.7999573,1464497594548,,,0
move,0.1647732818260721,11.999985,-7.7999268,1464497594598,,,50
animation,,,,1464497594660,,,62
attack,,,,1464497594660,,,0
serverInfo,,,,1464497594660,0.9352648905066122,0.9150581605396576,0
move,0.08307781780646906,5.2500114,-18.600006,1464497594698,,,38
move,0.0,3.4500237,-18.0,1464497594698,,,0
move,-0.07840000152587834,-0.30000305,-26.849915,1464497594748,,,50
move,-0.15523200451660557,-1.9500122,-17.399963,1464497594798,,,50
animation,,,,1464497594847,,,49
attack,,,,1464497594847,,,0
serverInfo,,,,1464497594847,0.9933758924260856,0.9904019996730155,0
move,-0.23052736891296632,-0.15000153,-2.249939,1464497594848,,,1
move,-0.30431682745754074,0.0,360.0,1464497594898,,,50
move,-0.37663049823865435,-1.2000122,-365.99994,1464497594948,,,50
