# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
animation,,,,,,,,,1464498781749,42
attack,,,,,,,,,1464498781749,0
serverInfo,,,,,0.5978142631338789,1.3793838645454957,131,19.821605550049554,1464498781749,0
move,0.11386735619719346,0.029594585275091845,-0.29999924,7.4999695,,,,,1464498781757,8
move,0.0922259847013791,-0.04939730739181414,0.7499981,-2.399994,,,,,1464498781807,50
move,0.10366512080422297,-0.12680936371203444,1.1999989,12.0000305,,,,,1464498781857,50
animation,,,,,,,,,1464498781940,83
animation,,,,,,,,,1464498781940,0
move,0.12196229117544632,-0.20267318038236937,-2.8499947,5.400009,,,,,1464498781957,17
move,0.12369777192518683,-0.22973579334983896,-3.7499905,-22.949997,,,,,1464498781957,0
move,0.07813663251917191,0.0,-1.7999954,-40.799988,,,,,1464498782007,50
animation,,,,,,,,,1464498782049,42
attack,,,,,,,,,1464498782049,0
serverInfo,,,,,0.821950314538948,2.0120367990968213,131,19.821605550049554,1464498782049,0
move,-0.04370150275828877,0.0,1.949995,-23.550003,,,,,1464498782058,9
move,-0.12172969678092826,0.0,1.0499973,-6.1499786,,,,,1464498782108,50
move,0.426144198656079,0.23375000000000057,-0.5999985,-1.1999664,,,,,1464498782157,49
jump,,,,,,,,,1464498782157,0
move,0.2126785951254142,0.15067500293255165,1.0499973,0.0,,,,,1464498782208,51
animation,,,,,,,,,1464498782250,42
attack,,,,,,,,,1464498782250,0
serverInfo,,,,,0.9491532753349773,2.0052336821828654,131,19.817677368212443,1464498782250,0
move,0.1746073555254526,0.06926150422191313,1.0499973,-3.0,,,,,1464498782258,8
move,0.1396901286078105,-0.010523726067340533,-0.44999886,0.75,,,,,1464498782308,50
move,0.10393249746978128,-0.08871325327260138,-1.0499973,12.300018,,,,,1464498782357,49
animation,,,,,,,,,1464498782399,42
attack,,,,,,,,,1464498782399,0
serverInfo,,,,,0.8383303103070228,2.7107873889679723,131,19.821605550049554,1464498782399,0
move,0.07004400304170133,-0.16533899142509512,-0.44999886,5.0999756,,,,,1464498782408,9
move,0.07524582544954583,-0.18911053638942832,-3.7499943,1.0499573,,,,,1464498782458,50
move,0.15217281030259144,0.0,-4.949993,-7.5,,,,,1464498782509,51
animation,,,,,,,,,1464498782594,85
attack,,,,,,,,,1464498782594,0
serverInfo,,,,,0.9151715056269449,2.9462166292283043,131,19.841269841269842,1464498782594,0
move,0.17769689123370114,0.0,-0.5999985,-5.700012,,,,,1464498782608,14
move,0.1905294386910512,0.0,-0.5999985,0.5999756,,,,,1464498782608,0
move,0.34513179659843374,0.2763750000000016,-1.0499973,-0.75001526,,,,,1464498782658,50
jump,,,,,,,,,1464498782658,0
move,0.16751935553073594,0.19244750374555508,2.0999985,-0.14996338,,,,,1464498782708,50
animation,,,,,,,,,1464498782773,65
move,0.1289220933128128,0.11019855581540838,2.699995,8.550003,,,,,1464498782808,35
move,0.0934754114891696,0.029594585275091845,-1.3499966,1.1999664,,,,,1464498782808,0
move,0.0677336839445779,-0.04939730739181414,-0.14999962,0.5999756,,,,,1464498782858,50
animation,,,,,,,,,1464498782897,39
move,0.07362752160497621,-0.12680936371203444,0.0,-0.1499939,,,,,1464498782908,11
move,0.08421583378413544,-0.20267318038236937,1.7999954,-5.3999634,,,,,1464498782958,50
move,0.09572320587992067,-0.22973579334983896,0.14999962,-4.949997,,,,,1464498783058,100
move,0.1939008119562189,0.0,-0.29999924,-6.599991,,,,,1464498783058,0
animation,,,,,,,,,1464498783138,80
move,0.20479999471974963,0.0,0.14999962,4.650009,,,,,1464498783158,20
move,0.09766783621495989,0.0,-1.6499958,5.25,,,,,1464498783159,1
move,0.30132864752412303,0.2763750000000016,-2.699994,10.949982,,,,,1464498783208,49
jump,,,,,,,,,1464498783208,0
animation,,,,,,,,,1464498783244,36
move,0.13809875792041737,0.19244750374555508,-0.29999924,0.74998474,,,,,1464498783258,14
move,0.09984611255165987,0.11019855581540838,0.5999985,3.75,,,,,1464498783308,50
move,0.06707811224390525,0.029594585275091845,-1.0499973,9.600021,,,,,1464498783408,100
animation,,,,,,,,,1464498783443,35
move,0.047558753731038905,-0.17620667110384858,0.14999962,-0.44999695,,,,,1464498783458,15
move,-0.010397277246241288,-0.20267318038236937,-0.14999962,0.1499939,,,,,1464498783559,101
move,-0.033888317177670046,-0.22973579334983896,-0.44999886,-2.4000092,,,,,1464498783559,0
animation,,,,,,,,,1464498783647,88
move,-0.09149981377814242,0.0,-0.5999985,-3.1499786,,,,,1464498783659,12
move,-0.10866190198901649,0.0,-0.14999962,0.0,,,,,1464498783659,0
move,0.2496358115375088,0.3216249999999974,-0.14999962,0.2999878,,,,,1464498783709,50
jump,,,,,,,,,1464498783709,0
move,0.12187584465512202,0.23679250460862988,-0.7499981,6.0,,,,,1464498783759,50
move,0.0931791363207708,0.15365665750703528,-0.44999886,8.400055,,,,,1464498783809,50
animation,,,,,,,,,1464498783848,39
move,0.06329394755371709,0.07218352576178688,0.5999985,11.100006,,,,,1464498783859,11
move,0.04454064585422657,-0.09356708857900742,-0.44999886,3.2999725,,,,,1464498783959,100
animation,,,,,,,,,1464498783995,36
move,-0.004503894597291946,-0.1625888079673672,0.4499998,0.0,,,,,1464498784009,14
move,-0.009038241884510967,-0.23773703643502841,0.14999962,0.89997864,,,,,1464498784059,50
animation,,,,,,,,,1464498784145,86
move,-0.03333862790086073,-0.2903647548960464,0.0,9.900009,,,,,1464498784159,14
move,-0.10408782041886866,0.0,0.29999924,4.1999817,,,,,1464498784159,0
move,1.0033418874442503,0.376375000000003,0.0,0.30000305,,,,,1464498784209,50
jump,,,,,,,,,1464498784209,0
move,0.5347818870155976,0.29044750565290656,-0.14999962,2.9999847,,,,,1464498784259,50
animation,,,,,,,,,1464498784344,85
move,0.4729563349608128,0.20623855955381742,0.14999962,1.4999847,,,,,1464498784359,15
move,0.4135217594839986,0.12371379077054456,1.949995,7.6500244,,,,,1464498784359,0
move,0.35656533966822224,0.04283951578890566,0.14999962,7.650009,,,,,1464498784459,100
move,0.30340286306503117,-0.03641727523564953,-0.44999886,3.8999786,,,,,1464498784459,0
animation,,,,,,,,,1464498784546,87
move,0.2542532349141453,-0.11408893195141445,-0.14999962,2.399994,,,,,1464498784559,13
move,0.20378222919541145,-0.190207157014342,0.0,0.0,,,,,1464498784559,0
move,0.1578536126676937,-0.26480301902784475,0.0,0.0,,,,,1464498784609,50
move,0.11605857042297885,-0.33790696522388686,0.0,0.0,,,,,1464498784659,50
move,0.07811404547308598,-0.09619102331303964,0.14999962,1.6499939,,,,,1464498784709,50
animation,,,,,,,,,1464498784799,90
move,0.09246579037984759,0.0,-1.0499973,14.399994,,,,,1464498784809,10
move,0.2842937514186019,0.1508749999999992,0.0,3.9000397,,,,,1464498784909,100
jump,,,,,,,,,1464498784909,0
move,0.13027144982895322,0.0694575013518346,0.0,0.30000305,,,,,1464498784909,0
move,0.09359406628554723,-0.010331648876288568,0.0,0.0,,,,,1464498784959,50
animation,,,,,,,,,1464498785045,86
move,0.06021764629912241,-0.08852501762169851,0.0,0.0,,,,,1464498785059,14
move,0.029845103236155524,-0.12147583485384672,0.0,0.0,,,,,1464498785059,0
move,0.05694536886468882,0.0,-0.8999977,3.7500076,,,,,1464498785109,50
