# EVENT,Y_DELTA,PITCH,YAW,TIMESTAMP,offset
move,-0.3113823017666846,11.5999775,368.7489,1464490203524,50
move,-0.383554663196378,8.1499815,369.94885,1464490203574,50
animation,,,,1464490203598,24
move,-0.02952577846990323,5.74998,371.5988,1464490203624,26
move,0.0,5.59998,371.74878,1464490203674,50
move,0.0,5.59998,11.748779,1464490203724,50
move,0.0,5.1499796,372.04877,1464490203774,50
move,0.0,2.4499784,373.9987,1464490203824,50
animation,,,,1464490203859,35
move,0.0,0.7999784,374.89865,1464490203874,15
move,0.0,-1.6000215,375.49863,1464490203924,50
move,0.0,-8.800021,372.19876,1464490203975,51
animation,,,,1464490203998,23
move,0.0,-11.35002,371.4488,1464490204025,27
move,0.0,-11.200021,371.4488,1464490204075,50
move,0.0,-0.8500224,380.2988,1464490204125,50
animation,,,,1464490204160,35
animation,,,,1464490204160,0
move,0.2763750000000016,11.299977,383.74875,1464490204175,15
move,0.19244750374555508,9.499979,380.74887,1464490204225,50
move,0.11019855581541549,8.299981,373.24896,1464490204275,50
move,0.029594585275091845,8.74998,357.34897,1464490204325,50
animation,,,,1464490204361,36
attack,,,,1464490204361,0
move,-0.04939730739181414,9.649978,352.24902,1464490204375,14
move,-0.12680936371204155,9.649978,352.09903,1464490204425,50
move,-0.20267318038237647,9.649978,352.09903,1464490204475,50
animation,,,,1464490204486,11
attack,,,,1464490204486,0
move,-0.22973579334983185,9.049979,351.79904,1464490204526,40
move,0.0,8.89998,351.64905,1464490204576,50
move,0.3216249999999974,8.74998,351.64905,1464490204625,49
move,0.23679250460862988,5.899979,341.89893,1464490204675,50
animation,,,,1464490204702,27
attack,,,,1464490204702,0
move,0.15365665750704238,7.99998,335.44907,1464490204725,23
move,0.07218352576178688,11.899976,331.69916,1464490204775,50
move,-0.09356708857900742,17.749968,328.0993,1464490204875,100
animation,,,,1464490204902,27
attack,,,,1464490204902,0
move,-0.1625888079673672,18.499966,325.54935,1464490204926,24
move,-0.23773703643503552,19.999962,322.69946,1464490204976,50
move,-0.2903647548960464,18.949965,313.99933,1464490205025,49
animation,,,,1464490205041,16
attack,,,,1464490205041,0
move,0.0,18.049967,313.54932,1464490205076,35
move,0.0,18.049967,313.9993,1464490205126,50
move,0.2763750000000016,18.049967,313.9993,1464490205176,50
move,0.19244750374555508,18.049967,313.9993,1464490205225,49
animation,,,,1464490205242,17
attack,,,,1464490205242,0
move,0.11019855581541549,18.049967,313.9993,1464490205275,33
move,-0.019802722116722293,17.599968,314.89926,1464490205376,101
move,-0.12680936371204155,16.099972,319.6991,1464490205426,50
animation,,,,1464490205462,36
attack,,,,1464490205462,0
move,-0.20267318038237647,15.949972,319.8491,1464490205476,14
animation,,,,1464490205868,392
attack,,,,1464490205868,0
animation,,,,1464490205868,0
attack,,,,1464490205869,1
move,-0.22973579334983185,15.949972,320.29907,1464490205876,7
move,0.0,14.899975,322.099,1464490205876,0
move,0.0,12.049979,323.74893,1464490205876,0
move,0.3216249999999974,11.29998,323.74893,1464490205876,0
move,0.23679250460862988,11.149981,324.04892,1464490205876,0
move,0.15365665750704238,10.999981,327.3488,1464490205876,0
move,0.07218352576178688,10.999981,339.79898,1464490205876,0
move,-0.09356708857900742,11.44998,340.69897,1464490205926,50
move,-0.1625888079673672,11.44998,337.84906,1464490205976,50
move,-0.23773703643503552,10.549982,328.549,1464490206026,50
animation,,,,1464490206061,35
attack,,,,1464490206061,0
move,-0.2903647548960464,10.549982,326.5991,1464490206076,15
move,0.3216249999999974,10.549982,326.5991,1464490206126,50
move,0.23679250460862988,10.999981,329.89902,1464490206176,50
move,0.15365665750704238,10.999981,331.69894,1464490206226,50
animation,,,,1464490206247,21
attack,,,,1464490206247,0
move,0.07218352576178688,11.44998,331.99893,1464490206276,29
move,-0.09356708857900742,12.799976,333.19888,1464490206376,100
move,-0.1625888079673672,13.099976,335.2988,1464490206426,50
