# EVENT,Y_DELTA,PITCH_DELTA,YAW_DELTA,TIMESTAMP,offset
move,0.0,0.0,0.0,1464492707447,49
move,0.0,0.0,0.0,1464492707497,50
animation,,,,1464492707523,26
attack,,,,1464492707523,0
move,0.0,0.0,0.0,1464492707548,25
move,0.0,-2.5500007,1440.1499,1464492707598,50
move,0.0,1.8000011,13.199707,1464492707648,50
move,0.0,1.3500009,8.550049,1464492707698,50
animation,,,,1464492707734,36
attack,,,,1464492707734,0
move,0.0,0.0,0.45007324,1464492707748,14
move,0.0,0.0,3.300537,1464492707798,50
move,0.0,0.9000006,9.5998535,1464492707848,50
animation,,,,1464492707884,36
attack,,,,1464492707884,0
move,0.0,0.0,5.7003174,1464492707898,14
move,0.0,0.0,5.550171,1464492707948,50
move,0.0,0.3000002,11.699585,1464492707998,50
move,0.0,1.0499973,19.650024,1464492708048,50
animation,,,,1464492708083,35
move,0.0,-0.8999977,34.499878,1464492708098,15
move,0.0,-2.7000012,50.999634,1464492708148,50
move,0.0,-3.6000018,53.099854,1464492708198,50
animation,,,,1464492708213,15
move,0.0,-1.0499998,47.700073,1464492708248,35
animation,,,,1464492708283,35
move,0.0,-2.9999998,48.14966,1464492708298,15
move,0.0,-1.650001,49.499634,1464492708348,50
animation,,,,1464492708388,40
attack,,,,1464492708388,0
move,0.0,0.6000004,51.15039,1464492708398,10
move,0.0,0.90000033,41.849365,1464492708448,50
move,0.0,2.6999998,32.10034,1464492708498,50
move,0.0,2.7000003,2.0998535,1464492708548,50
animation,,,,1464492708570,22
move,0.0,2.8500018,-13.3498535,1464492708598,28
move,0.0,1.2000008,-27.599365,1464492708648,50
move,0.0,-0.3000002,-28.649902,1464492708698,50
animation,,,,1464492708717,19
animation,,,,1464492708717,0
move,0.0,-0.6000004,-18.149658,1464492708748,31
animation,,,,1464492708784,36
move,0.0,1.2000008,-6.449951,1464492708798,14
animation,,,,1464492708823,25
move,0.0,0.1500001,-2.8498535,1464492708848,25
move,0.0,0.0,-0.9001465,1464492708898,50
animation,,,,1464492708948,50
animation,,,,1464492708948,0
move,0.0,0.0,1.6499023,1464492708998,50
move,0.0,1.4999976,8.850342,1464492708998,0
move,0.0,-0.74999905,4.9501953,1464492709048,50
animation,,,,1464492709083,35
attack,,,,1464492709083,0
move,0.0,-9.536743E-7,-5.550049,1464492709098,15
move,0.0,0.5999985,-2.9997559,1464492709198,100
move,0.0,-0.29999924,-11.850342,1464492709198,0
animation,,,,1464492709222,24
animation,,,,1464492709222,0
move,0.0,0.0,-2.5500488,1464492709248,26
animation,,,,1464492709272,24
move,0.0,0.14999962,0.14990234,1464492709298,26
move,0.41999998688697815,0.3000002,-0.14990234,1464492709348,50
move,0.33319999363422426,1.499999,-0.14990234,1464492709398,50
animation,,,,1464492709421,23
attack,,,,1464492709421,0
move,0.24813599859093927,5.8500013,-2.39917,1464492709448,27
move,0.1647732818260721,7.799999,-2.9995117,1464492709498,50
move,0.08307781780646906,1.949995,-0.5996094,1464492709598,100
move,0.0,2.9999962,-2.099121,1464492709598,0
animation,,,,1464492709622,24
attack,,,,1464492709622,0
move,-0.07840000152587834,5.3999996,1.9492188,1464492709648,26
move,-0.15523200451660557,0.45000458,9.000244,1464492709698,50
animation,,,,1464492709783,85
move,-0.23052736891296632,-0.90000916,22.200195,1464492709798,15
move,-0.30431682745754074,-5.700001,36.899902,1464492709798,0
move,-0.37663049823865435,-5.999998,46.049805,1464492709848,50
move,-0.1040803780930375,-7.800004,49.200195,1464492709898,50
move,0.41999998688697815,-8.7,56.25,1464492709948,50
animation,,,,1464492709988,40
move,0.33319999363422426,-0.5999994,53.100098,1464492709998,10
animation,,,,1464492710035,37
move,0.24813599859093927,2.2500014,41.25,1464492710048,13
move,0.1647732818260721,4.049998,45.45044,1464492710098,50
move,0.08307781780646906,4.3499956,38.250244,1464492710148,50
animation,,,,1464492710158,10
move,0.0,2.699995,18.449707,1464492710198,40
move,-0.07840000152587834,-0.14999962,4.199707,1464492710248,50
move,-0.15523200451660557,0.14999962,-7.9501953,1464492710298,50
animation,,,,1464492710328,30
animation,,,,1464492710328,0
move,-0.23052736891296632,0.8999977,-18.000488,1464492710348,20
move,-0.30431682745754074,0.7499981,-26.700195,1464492710398,50
move,-0.37663049823865435,0.29999924,-3.7502441,1464492710448,50
move,-0.1040803780930375,-0.44999886,4.499756,1464492710498,50
animation,,,,1464492710539,41
attack,,,,1464492710539,0
move,0.41999998688697815,-0.44999886,-0.14990234,1464492710548,9
move,0.33319999363422426,0.0,-2160.0,1464492710598,50
move,0.24813599859093927,0.44999886,2158.5002,1464492710648,50
animation,,,,1464492710698,50
attack,,,,1464492710698,0
move,0.1647732818260721,0.0,0.30004883,1464492710698,0
move,0.08307781780646906,0.14999962,0.0,1464492710748,50
move,0.0,1.0499973,0.44970703,1464492710798,50
move,-0.07840000152587834,-0.14999962,-2.399414,1464492710848,50
animation,,,,1464492710862,14
attack,,,,1464492710862,0
move,-0.15523200451660557,0.0,-0.5998535,1464492710898,36
move,-0.23052736891296632,-0.14999962,-1.7998047,1464492710948,50
move,-0.30431682745754074,0.29999924,-1.0498047,1464492710998,50
animation,,,,1464492711039,41
attack,,,,1464492711039,0
move,-0.37663049823865435,-0.29999924,0.8996582,1464492711048,9
move,-0.1040803780930375,0.0,-2160.0,1464492711098,50
move,0.41999998688697815,0.0,2161.9497,1464492711148,50
move,0.33319999363422426,0.0,-2160.0,1464492711198,50
animation,,,,1464492711230,32
attack,,,,1464492711231,1
move,0.24813599859093927,0.0,0.0,1464492711248,17
move,0.1647732818260721,0.0,0.0,1464492711298,50
move,0.08307781780646906,0.0,0.0,1464492711348,50
animation,,,,1464492711439,91
animation,,,,1464492711439,0
move,-0.07840000152587834,0.0,0.0,1464492711448,9
move,-0.15523200451660557,0.0,0.0,1464492711498,50
move,-0.23052736891296632,-3.899994,2176.9502,1464492711548,50
move,-0.30431682745754074,-3.7499962,35.999268,1464492711598,50
move,-0.37663049823865435,-8.100001,56.85083,1464492711648,50
animation,,,,1464492711699,51
move,-0.1040803780930375,-6.8999996,63.0,1464492711748,49
move,0.41999998688697815,-3.900001,69.29932,1464492711748,0
move,0.33319999363422426,1.500001,54.59961,1464492711798,50
animation,,,,1464492711819,21
attack,,,,1464492711819,0
move,0.24813599859093927,5.8500004,64.5,1464492711848,29
move,0.1647732818260721,4.800001,60.59961,1464492711898,50
move,0.08307781780646906,6.450002,55.800293,1464492711948,50
move,0.0,4.649996,39.300293,1464492711998,50
animation,,,,1464492712031,33
move,-0.07840000152587834,4.7999897,27.899902,1464492712048,17
move,-0.15523200451660557,1.199997,11.700439,1464492712098,50
move,-0.23052736891296632,1.949995,9.600586,1464492712148,50
move,-0.30431682745754074,0.7499981,15.600342,1464492712198,50
animation,,,,1464492712242,44
move,-0.37663049823865435,0.5999985,26.699951,1464492712248,6
animation,,,,1464492712284,36
move,-0.1040803780930375,-1.199997,48.300293,1464492712298,14
move,0.41999998688697815,-4.1999893,54.750244,1464492712348,50
move,0.33319999363422426,-3.149992,64.950195,1464492712398,50
move,0.24813599859093927,-1.949995,61.20044,1464492712448,50
move,0.1647732818260721,-0.29999924,59.10034,1464492712498,50
animation,,,,1464492712521,23
move,0.08307781780646906,2.399994,41.25,1464492712548,27
move,0.0,2.0999947,15.749756,1464492712598,50
move,-0.07840000152587834,-0.14999962,-8.699707,1464492712648,50
move,-0.15523200451660557,0.29999924,-27.900146,1464492712698,50
animation,,,,1464492712733,35
move,-0.23052736891296632,8.4,-1.3498535,1464492712748,15
animation,,,,1464492712802,54
move,-0.30431682745754074,3.1499996,30.899902,1464492712848,46
move,-0.37663049823865435,-1.9500008,56.999268,1464492712848,0
move,-0.1040803780930375,-7.949995,59.399902,1464492712898,50
animation,,,,1464492712921,23
animation,,,,1464492712921,0
move,0.41999998688697815,-2.699997,40.79956,1464492712948,27
move,0.33319999363422426,1.199997,33.90039,1464492712998,50
move,0.24813599859093927,2.5499935,10.949951,1464492713048,50
move,0.1647732818260721,0.0,-3240.0,1464492713098,50
move,0.08307781780646906,0.0,0.0,1464492713148,50
move,-0.07840000152587834,0.0,0.0,1464492713248,100
move,-0.15523200451660557,0.0,0.0,1464492713348,100
move,-0.23052736891296632,0.0,3239.85,1464492713348,0
move,-0.30431682745754074,-8.400001,-33.149902,1464492713398,50
animation,,,,1464492713417,19
attack,,,,1464492713417,0
move,-0.37663049823865435,-0.29999924,-2.3999023,1464492713448,31
move,-0.1040803780930375,-0.7499981,-1.4997559,1464492713548,100
move,0.41999998688697815,-0.44999886,-2.3999023,1464492713548,0
animation,,,,1464492713583,35
attack,,,,1464492713583,0
move,0.33319999363422426,0.14999962,3.3000488,1464492713598,15
move,0.24813599859093927,0.0,-3240.0,1464492713648,50
animation,,,,1464492714044,396
attack,,,,1464492714044,0
animation,,,,1464492714044,0
